zou2 san4 | Good Morning
nei5 hou2 | Hello
m4 goi1 | Thank You (favour/service/please/excuse me)
do1 ze6 | Thanks a lot (gift/invitation/compliment)
zoi6 gin3 | See you again
ngo5 giu3 Peter  | My name is Peter
ngo5 hai6 Peter | I am Peter
Gaa1 Naa4 Daai6 | Canada
Jing1 Gwok3 | England
Mei5 Gwok3 | America
faat3 Gwok3 | France
Sai Baan1 Ngaa4 | Spain
Ji3 Daai6 Lei6 | Italy
Zung1 Gwok3 | China
Hoeng1 Gong2 | Hong Kong
Jing1 Gwok3 Jan4 | British  
Mei5 Gwok3 Jan4 | American  
faat3 Gwok3 Jan4 | French
Sai Baan1 Ngaa4 Jan4 | Spanish
Ji3 Daai6 Lei6 Jan4 | Italian
Zung1 Gwok3 Jan4 | Chinese
Hoeng1 Gong2 Jan4 | Hong Konger
ngo5 hai6 hok6 saaang1 | I am a student
ngo5 hai6 mei5 gwok3 jan4 | I am American
nei5 giu3 me1 meng2 a3? | What is your name?
sik6 zo2 faan6 mei6 a3? | Have you eaten?
nei5 hou2 maa3? | How are you?
gei2 hou2 | Quite good
hou2 hou2  | I am fine
maa4 maa2 dei2 | So-so
m4 hai6 gei2 hou2 | Not very good
m4 hou2 | Not good
nei5 ne1? | And you?
m4 sai2 m4 goi1 | You're welcome (m4 goi1)
m4 sei2 do1 ze6 | You're welcome (do1 ze6)
nei5 giu3 mat1 je5 meng2 a3? | What is your full name? (be called)
nei5 hai6 bin1 dou6 jan4 a3? | Where are you from?
jat1 go3 jan4 | One person
jat1 gaa3 ce1 | One veicle
jat1 bui1 zau2 | One glass of alcohol
jat1 wun2 faan6 | One bowl of rice
jat1 zi1 bat1 | One pen
jat1 gin6 saam1 | One shirt
jat1 tiu4 fu3 | One pair of pants
ni1 go3 | this one
go2 go3 | that one
bin1 go3? | which one?
go2 dou6 | there
ni1 dou6 | here
bin1 dou6? | where?
ni1 di1 | these
go2 di1 | those
bin1 di1? | which ones?
ni1 zi1 bat1 | this pen
ni1 gin6 saam1 | this shirt
ni1 bui1 zau2 | this glass of alcohol
go2 gaan3 ce1 | that vehicle
ni1 di2 faan6 | these rice
go2 di1 saam1 | those shirts
ni1 di1 jan4 | these people
gou2 go2 jan4 | that person
m4 hou2 ji3 si1 | Excuse me (getting attention) (polite)
deoi3 m4 zyu6 | Sorry (apology)
hou2 pou5 hip3 | Very sorry (formal)
m4 gan2 jiu3 | Never mind (no problem/it's ok)
